사가,81,163
가다,93,192
라나,55,196
마라,72,153
사카,44,170
라카,59,183
아아,83,151
가바,60,166
타나,56,151
바마,98,150
차가,92,199
하다,88,143
라하,64,183
마아,67,147
바다,93,162
차사,67,169
아카,66,157
나라,79,175
카아,84,159
마나,90,178
다가,79,189
아파,97,145
사하,95,177
사나,63,158
사카,58,149
바다,84,153
가사,84,141
아차,72,161
차타,47,193
라바,87,179
카아,69,188
라다,56,144
사라,64,160
나나,97,174
차카,79,159
라바,79,153
마타,98,197
파라,61,160
바카,67,191
파아,98,166
나차,59,152
바하,76,174
사타,90,161
카하,90,167
가라,73,196
라아,91,177
마파,84,189
가다,87,181
나다,82,192
사아,92,193
다차,53,193
차라,69,164
카파,42,183
바카,60,160
아파,58,169
아나,74,154
파사,61,182
바차,46,168
차라,67,183
파나,69,146
하사,82,190
하나,45,191
나라,90,158
파카,81,194
사다,44,185
파파,90,196
하다,57,189
바다,73,191
마다,62,157
차카,99,142
가아,42,149
바아,74,195
파라,91,172
차라,89,174
하마,70,185
마가,60,196
자아,95,169
아사,82,188
자다,49,157
타나,43,147
타파,92,163
나하,93,185
마나,71,198
파마,75,194
하가,48,160
아나,80,150
아아,88,147
나마,43,143
아아,40,152
다다,91,189
파바,98,189
바사,88,189
사카,68,141
카사,91,195
다마,56,185
아차,56,190
파파,67,151
바아,49,157
가다,74,150
나사,54,193
하차,66,197
사다,42,198
타바,51,199
아다,51,168
파마,57,169
바바,93,167
타파,88,157
카가,40,154
마다,43,173
차바,85,171
하차,46,185
가아,90,156
차라,99,185
카사,58,191
카마,83,154
아카,71,141
아타,77,197
나하,59,193
파사,87,181
하카,98,160
차차,59,197
아마,63,177
다차,70,166
사마,77,187
아자,41,172
다차,45,186
자타,94,148
마라,67,196
아가,67,174
다마,72,157
마아,84,146
바자,93,176
마하,91,144
하라,45,192
하자,70,167
하사,69,198
사나,46,152
하바,78,145
마바,93,188
파가,61,178
자마,73,160
카가,75,147
차파,63,161
타바,51,189
다차,44,158
